country_code,year,fiscal_balance_pct_gdp,gross_debt_pct_gdp
BHR,2025,-12.97229997881527,147.6131394485617
BHR,2026,-10.62716871761216,152.3602435442747
BHS,2010,-2.569972450907281,33.88324034087453
BHS,2011,-2.868352267464241,35.26211362708214
BHS,2012,-3.252781585505098,37.58913388230633
BHS,2013,-5.098217102763659,44.24845563647293
BHS,2014,-4.511499664421141,47.74755544816812
BHS,2015,-3.336665785661073,49.94096058849486
BHS,2016,-2.610247874134635,51.05678754318493
BHS,2017,-6.050251912064696,54.64890813957912
BHS,2018,-3.283407186953983,61.51250073572107
BHS,2019,-1.679994577892341,60.31355361590269
BHS,2020,-7.109080042567077,71.92512078817549
BHS,2021,-11.9024656696747,90.66190650572815
BHS,2022,-5.525728526530206,84.65556636923132
BHS,2023,-3.654552720547938,78.29078080143586
BHS,2024,-1.200313962078004,73.8129800273148
BHS,2025,-0.4875675145456344,73.8031091799145
BHS,2026,-0.3133036842541061,71.88748182804993
BIH,2010,-4.057752110576917,42.20546952054428
BIH,2011,-2.727537371875245,40.94084302115516
BIH,2012,-3.757808797445542,43.55745769795294
BIH,2013,-2.187746431102299,43.75460875387823
BIH,2014,-2.866456659700118,47.14010273938597
BIH,2015,-0.194224025173902,46.37557621867255
BIH,2016,0.3417468637205545,44.87429008658688
BIH,2017,1.789494494608388,38.61591254054018
BIH,2018,1.631880190871084,34.51121124784033
BIH,2019,1.367679991561215,32.78234450316081
BIH,2020,-4.501582663874471,37.24879635552333
BIH,2021,-0.1766833395202212,35.7517795351101
BIH,2022,0.1490445734597892,31.21877108140109
BIH,2023,-1.670973721456337,28.98429075157582
BIH,2024,-1.964238756141578,29.40326795879371
BIH,2025,-2.405129547872143,29.93235692024832
BIH,2026,-3.950692481499973,30.7531795803534
BLR,2010,-4.186628047916004,36.80521254116662
BLR,2011,-2.805920044882748,58.22333349606991
BLR,2012,0.359824810791928,36.94622230523649
BLR,2013,-0.9819590405955969,36.85947264884071
BLR,2014,0.09211040549262856,38.79060487581955
BLR,2015,-2.963639128903954,53.00688847723524
BLR,2016,-1.659082683150007,53.48163012022612
BLR,2017,-0.3365245445095047,53.15984561436507
BLR,2018,1.804798376672932,47.51523605764239
BLR,2019,0.9095516942790915,40.99921508682786
BLR,2020,-2.870345608484125,47.49331681369589
BLR,2021,-0.2228171674085911,41.18201043237409
BLR,2022,-1.976024296205966,40.84424787140874
BLR,2023,0.758292243404521,40.72437292859496
