country_code,country,year,gdp_per_capita,real_gdp_growth,inflation_rate,compulsory_education_years,population_65_plus_pct,fertility_rate,unemployment_rate,government_expenditure_pct_gdp,government_revenue_pct_gdp,gdp_deflator_inflation,current_account_pct_gdp,age_dependency_ratio,gross_capital_formation_pct_gdp,total_reserves_months_imports,savings_pct_gdp,exports_pct_gdp
SGP,Singapore,2012,55547.5553077786,4.43549759378537,4.58084479423094,6.0,7.78031524333552,1.29,3.72,12.3839623831082,17.4768046793331,0.495345771200874,17.6432739045994,26.8734686937048,29.2629426703058,5.43623357526728,47.2531022096686,196.719612875759
SGP,Singapore,2013,56967.4257940383,4.81763099120676,2.36439793742726,6.0,8.16514295512923,1.19,3.86,12.3753378735642,17.2396519035114,-0.431059391871671,15.7071875902089,27.0192311085442,29.9795021855415,5.43683101786015,45.5156971062719,195.077796338143
SGP,Singapore,2014,57564.8023114977,3.93554027709007,1.03316955857629,6.0,8.57606405394016,1.25,3.74,13.1510655902688,18.0208994708332,-0.267270041634802,17.9502135491877,27.3124316272141,29.4300082792766,5.12342361688903,47.2950477994746,191.953535787505
SGP,Singapore,2015,55645.6068614606,2.97679931634806,-0.521975611895763,6.0,8.99820725948152,1.24,3.79,15.9255259430938,17.9971098900658,3.07195500966418,18.6930222903094,27.6825611982179,25.353193018866,5.41630753480116,44.0462153091754,178.384608499682
SGP,Singapore,2016,57005.5887176547,3.74757848792792,-0.529809760375464,6.0,9.44794121187799,1.2,4.08,14.4158695300905,18.4319139456502,0.522019607887785,18.0893657934254,28.1544000884945,26.3971777576543,5.59069271249593,45.0437873515046,164.550664245506
SGP,Singapore,2017,61236.251270627,4.47689915845876,0.576763191179996,6.0,9.96401995439571,1.16,4.2,14.2879989784805,20.1640829681211,2.86328612395911,18.5489449671093,28.8474686470753,27.2765104656237,5.48780927285262,46.5068266710157,171.741625509838
SGP,Singapore,2018,66881.6067035265,3.4519759658687,0.438784215129623,6.0,10.4836486140996,1.14,3.613,14.6822557796545,18.1773854683024,3.60726256505623,15.7118763496582,29.5555499902006,24.7748536752848,4.90921841872551,41.3804108623705,178.198251436118
SGP,Singapore,2019,65952.0378959293,1.30804118153127,0.567829988405447,6.0,10.9750531897302,1.14,3.1,14.1706593749508,20.9419133212645,-0.424898726497446,15.4809992253229,30.1882050728381,24.5014074011136,4.79837409853882,40.0919316958667,176.891299992751
SGP,Singapore,2020,61410.0792630788,-3.81470885510713,-0.172111865925382,6.0,11.5849477696371,1.1,4.1,25.7456316212339,18.0690867237101,-2.39290245566239,17.8019624591099,31.1638429496119,22.8053955630909,6.5266318785032,41.6335723627245,181.782024531778
SGP,Singapore,2021,80056.1288247844,9.7568044629903,2.31610315765146,6.0,12.258194216314,1.12,4.64,16.2824973554065,17.1309960684008,10.9292875816122,19.4520788810595,32.3224926548392,24.0192234940025,5.86539457353699,44.1814563930443,182.710806574886
SGP,Singapore,2022,90299.0694637269,4.10800021897151,6.13095418919732,6.0,12.6908966015146,1.04,3.591,14.8222699043527,15.8845515701868,14.9214101290688,19.1173002567127,32.7954085061744,22.2139256940454,3.52234707372306,41.2360040556609,186.114290787201
SGP,Singapore,2023,85412.230345235,1.82140694115385,4.83372362825798,6.0,13.0953667239036,0.97,3.444,17.3034829398763,18.2142943990795,-5.0186426400397,16.5778694804851,33.1253772353762,21.2437977714338,4.31234700367134,38.6458565524446,181.561322405378
SGP,Singapore,2024,90674.066632628,4.38802362461865,2.38951123595017,6.0,13.6562182859265,0.97,2.737,14.3519342542855,18.5525265576549,3.24187076847286,18.0021012297543,33.9448002385635,22.200257821565,4.18192840499011,40.1043512670488,178.776286814392
SGP,Singapore,2025,61236.251270627,4.10800021897151,2.31610315765146,6.0,9.96401995439571,1.15,2.818,14.3519342542855,18.0208994708332,1.10780871344616,18.0021012297543,28.8474686470753,25.353193018866,5.41630753480116,44.1814563930443,181.782024531778
SVK,Slovak Republic,2010,16899.448680529,6.79058159142423,0.957018132975143,10.0,12.4478217220765,1.43,14.387,39.5145792054508,31.5031888178808,0.470528553269702,-4.6203044518302,38.7142612720511,25.3783368279954,0.34416944783578,21.4681590536267,77.0810820862371
SVK,Slovak Republic,2011,18469.4354316836,2.56242473215553,3.9192859914629,10.0,12.6254872424295,1.45,13.634,39.0601443681058,33.9574139063562,1.61977051205542,-4.92376770602967,38.9901403319512,26.5333923090075,0.316456528696856,22.035739858135,84.6330521239054
SVK,Slovak Republic,2012,17516.9691054078,1.56917104702706,3.6061026352289,10.0,12.9097808254813,1.34,13.966,39.1325775702987,33.1016168746668,1.33888239127128,0.938943103720464,39.4612066242009,21.474904237703,0.34701810643709,23.1729286445984,90.908862673381
SVK,Slovak Republic,2013,18312.7805149823,0.703323545247201,1.40047368963025,10.0,13.2842884791878,1.34,14.226,40.0242603858589,35.5079174484525,0.534061870297393,2.91051144201471,40.1143714089078,22.1131489252307,0.28069267497192,25.0587475089629,92.8790222418488
SVK,Slovak Republic,2014,18770.9289896545,2.70795151449488,-0.0761653295419871,10.0,13.6950033798192,1.37,11.536,40.0498953140123,36.023154999262,-0.132602518843782,1.77620820872981,40.8909492177303,22.7798159146212,0.33657350850349,24.9648116766854,90.4400089861459
